"seqnames" "start" "end" "width" "strand" "value_pos" "peak" "feature" "feature.ranges.start" "feature.ranges.end" "feature.ranges.width" "feature.strand" "distance" "insideFeature" "distanceToSite" "gene_name"
"chrX" 68047520 68049085 1566 "*" 0.521502742570152 "X1" "ENSG00000090776" 68048840 68061990 13151 "+" 0 "overlapStart" 0 "EFNB1"
"chrX" 48754982 48755797 816 "*" 0.519942832634712 "X2" "ENSG00000102103" 48755195 48760420 5226 "+" 0 "overlapStart" 0 "PQBP1"
"chrX" 48754982 48755797 816 "*" 0.519942832634712 "X2" "ENSG00000126768" 48750730 48755426 4697 "-" 0 "overlapStart" 0 "TIMM17B"
"chrX" 47004051 47005131 1081 "*" 0.516942750030124 "X3" "ENSG00000182872" 47004268 47046212 41945 "+" 0 "overlapStart" 0 "RBM10"
"chrX" 47004051 47005131 1081 "*" 0.516942750030124 "X3" "ENSG00000147123" 47001615 47004903 3289 "-" 0 "overlapStart" 0 "NDUFB11"
"chrX" 110038886 110039604 719 "*" 0.538333091496957 "X4" "ENSG00000101938" 109917084 110039286 122203 "-" 0 "overlapStart" 0 "CHRDL1"
"chrX" 7895031 7896360 1330 "*" 0.530511552117518 "X5" "ENSG00000006757" 7866288 7895780 29493 "-" 0 "overlapStart" 0 "PNPLA4"
"chrX" 153775262 153776107 846 "*" 0.523304894221629 "X6" "LRG_148" 153759606 153775233 15628 "-" 28 "upstream" 28 "LRG_148"
"chrX" 153775262 153776107 846 "*" 0.523304894221629 "X6" "ENSG00000160211" 153759606 153775787 16182 "-" 0 "overlapStart" 0 "G6PD"
"chrX" 153775262 153776107 846 "*" 0.523304894221629 "X6" "LRG_70" 153776062 153793261 17200 "+" 0 "overlapStart" 0 "LRG_70"
"chrX" 48768632 48769670 1039 "*" 0.521638102656463 "X7" "ENSG00000102100" 48760459 48769235 8777 "-" 0 "overlapStart" 0 "SLC35A2"
"chrX" 47518016 47518849 834 "*" 0.519540099447269 "X8" "ENSG00000267064" 47518232 47519776 1545 "+" 0 "overlapStart" 0 "UXT-AS1"
"chrX" 47518016 47518849 834 "*" 0.519540099447269 "X8" "ENSG00000126756" 47511197 47518560 7364 "-" 0 "overlapStart" 0 "UXT"
"chrX" 100603351 100604329 979 "*" 0.5151453957657 "X9" "ENSG00000126953" 100600649 100604184 3536 "-" 0 "overlapStart" 0 "TIMM8A"
"chrX" 128977299 128978347 1049 "*" 0.522052585690158 "X11" "ENSG00000188706" 128937264 128977885 40622 "-" 0 "overlapStart" 0 "ZDHHC9"
"chrX" 133680249 133680974 726 "*" 0.651250136644396 "X12" "ENSG00000207784" 133675371 133675467 97 "-" 4781 "upstream" 4781 "MIR542"
"chrX" 133680249 133680974 726 "*" 0.651250136644396 "X12" "ENSG00000223749" 133677367 133680741 3375 "-" 0 "overlapStart" 0 "MIR503HG"
"chrX" 133680249 133680974 726 "*" 0.651250136644396 "X12" "ENSG00000227060" 133684003 133693953 9951 "+" 3028 "upstream" 3028 "LINC00629"
"chrX" 133680249 133680974 726 "*" 0.651250136644396 "X12" "ENSG00000208005" 133680358 133680428 71 "-" 0 "includeFeature" 0 "MIR503"
"chrX" 103267926 103268686 761 "*" 0.600734540008273 "X13" "ENSG00000101812" 103268269 103297021 28753 "+" 0 "overlapStart" 0 "H2BFM"
"chrX" 103267926 103268686 761 "*" 0.600734540008273 "X13" "ENSG00000123569" 103265719 103268259 2541 "-" 0 "overlapStart" 0 "H2BFWT"
"chrX" 118986581 118987328 748 "*" 0.519910110234984 "X14" "ENSG00000125351" 118967985 118986961 18977 "-" 0 "overlapStart" 0 "UPF3B"
"chrX" 153602509 153603503 995 "*" 0.55515751223426 "X15" "ENSG00000196924" 153576892 153603006 26115 "-" 0 "overlapStart" 0 "FLNA"
"chrX" 153602509 153603503 995 "*" 0.55515751223426 "X15" "ENSG00000102119" 153607557 153609883 2327 "+" 4053 "upstream" 4053 "EMD"
"chrX" 16730344 16731095 752 "*" 0.511102247300619 "X16" "ENSG00000047230" 16606126 16731059 124934 "-" 0 "overlapStart" 0 "CTPS2"
"chrX" 56258113 56259373 1261 "*" 0.546663816862512 "X17" "ENSG00000102349" 56258854 56314322 55469 "+" 0 "overlapStart" 0 "KLF8"
